General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Syerleena Abdul Rashid,49353,78.98
15,PN,Hng Chee Wey,6743,10.79
15,BN,Richie Huan Xin Yun,5417,8.67
15,Parti Rakyat Malaysia,Teh Yee Cheu,677,1.08
