General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Mohd Redzuan Md Yusof,29330,50.73
14,BN,Wong Nai Chee,22350,38.66
14,Pan-Malaysian Islamic Party,Mohammad Nazree Mohammad Aris,6135,10.61
