General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Awang Husaini Sahari,14106,45.81
14,BN,Makin @ Marcus Mojigoh,11767,38.22
14,Pan-Malaysian Islamic Party,Zulzaim Hilmee Abidin,2434,7.91
14,Sabah People's Hope Party,Jivol @ Edmund Doudilim,1755,5.70
