General Election,Party,Candidate,Vote Count,Percentage of Vote
15,BN,Mohamed Khaled Nordin,25410,53.68
15,PN,Mohamad Ridhwan Rasman,17020,35.96
15,PH,Onn Jaafar,4903,10.36
