General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Mohd Hatta Md Ramli,21955,40.93
14,BN,Zambry Abdul Kadir,21555,40.18
14,Pan-Malaysian Islamic Party,Mohammed Zamri Ibrahim,10135,18.89
