General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Tan Kar Hing,55880,53.92
15,PN,Muhammad Farhan Abdul Rahim,28732,27.72
15,BN,Ting Zhao Song,18393,17.75
15,Sabah Heritage Party,Balachandran Gopal,633,0.61
