General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PN,Zakri Hassan,24562,43.70
15,BN,Fathul Bari Mat Jahya,15370,27.35
15,PH,Noor Amin Ahmad,15143,26.94
15,Homeland Fighters' Party,Nur Sulaiman Zolkapli,708,1.26
