General Election,Party,Candidate,Vote Count,Percentage of Vote
15,GPS,Roy Angau Gingkoi,6644,34.44
15,PSB,Johnical Rayong Ngipa,6544,33.92
15,PN,Jugah Muyang,5360,27.78
15,PH,Langga Lias,746,3.87
