General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Willie Mongin,18865,54.65
14,BN,Genot Sinel @ Jeannoth Sinel,14860,43.05
14,STAR,Buln Patrick Ribos,795,2.30
