General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,June Leow Hsiad Hui,40783,47.86
14,BN,P. Kamalanathan,27392,32.14
14,Pan-Malaysian Islamic Party,Wan Mat Sulaimanm,16620,19.50
14,Independent,Kumar Paramasivam,426,0.50
