General Election,Party,Candidate,Vote Count,Percentage of Vote
14,Pan-Malaysian Islamic Party,Abdul Latiff Abdul Rahman,28903,52.56
14,BN,Ramzi Ab Rahman,20911,38.03
14,PH,Mohd. Yazid Abdullah,5173,9.41
