General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PN,Suhaili Abdul Rahman,8124,28.56
15,BN,Bashir Alias,7416,26.07
15,Sabah Heritage Party,Rozman Isli,7310,25.70
15,PH,Ramli Tahir,5307,18.65
