General Election,Party,Candidate,Vote Count,Percentage of Vote
15,DAP,Oscar Ling Chai Yew,31287,47.45
15,GPS,Clarence Ting Ing Horh,23527,35.68
15,PSB,Wong Soon Koh,11128,16.88
