General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Fuziah Salleh,22807,44.57
14,Pan-Malaysian Islamic Party,Sulaiman Md Derus,14696,27.72
14,BN,Wong Kean Hwee,13667,26.71
