Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge14,p198,Puncak Borneo,PH,4005,54.65,34520,11.6,Safe
ge14,p199,Serian,BN,9905,63.99,27419,36.12,Very Safe
ge14,p200,Batang Sadong,BN,12328,83.25,17066,72.24,Very Safe
ge14,p201,Batang Lupar,BN,10277,70.49,20151,51.0,Very Safe
ge14,p202,Sri Aman,BN,5820,61.48,23000,25.3,Very Safe
ge14,p203,Lubok Antu,Other,1059,40.09,14551,7.28,Fairly Safe
ge14,p204,Betong,BN,8116,60.41,20720,39.17,Very Safe
ge14,p205,Saratok,PH,989,52.18,22707,4.36,Marginal
ge14,p206,Tanjong Manis,BN,8674,80.69,14130,61.39,Very Safe
ge14,p207,Igan,BN,8495,83.76,12581,67.52,Very Safe
ge14,p208,Sarikei,PH,2570,53.57,30476,8.43,Fairly Safe
ge14,p209,Julau,Other,1931,55.28,18279,10.56,Safe
ge14,p210,Kanowit,BN,4312,64.58,14792,29.15,Very Safe
ge14,p211,Lanang,PH,14546,65.16,45892,31.7,Very Safe
ge14,p212,Sibu,PH,11422,59.58,56753,20.13,Very Safe
ge14,p213,Mukah,BN,7000,66.9,20706,33.81,Very Safe
ge14,p214,Selangau,PH,486,51.11,21970,2.21,Marginal
ge14,p215,Kapit,BN,10479,78.91,18125,57.82,Very Safe
ge14,p216,Hulu Rajang,BN,6315,68.2,17353,36.39,Very Safe
ge14,p217,Bintulu,BN,7022,57.05,47458,14.8,Safe
ge14,p218,Sibuti,BN,3676,54.6,22369,16.43,Safe
ge14,p219,Miri,PH,13663,61.82,57815,23.63,Very Safe
ge14,p220,Baram,BN,1990,54.45,22352,8.9,Fairly Safe
ge14,p221,Limbang,BN,7710,72.07,17468,44.14,Very Safe
ge14,p222,Lawas,BN,6000,70.44,14250,42.11,Very Safe
