Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge15,p001,Padang Besar,PN,12514,53.87,45044,27.78,Very Safe
ge15,p002,Kangar,PN,9192,44.03,55783,16.48,Safe
ge15,p003,Arau,PN,23216,67.23,46789,49.62,Very Safe
ge15,p004,Langkawi,PN,13518,53.73,47391,28.52,Very Safe
ge15,p005,Jerlun,PN,20456,60.69,52207,39.18,Very Safe
ge15,p006,Kubang Pasu,PN,31584,57.05,83402,37.87,Very Safe
ge15,p007,Padang Terap,PN,10959,58.03,48629,22.54,Very Safe
ge15,p008,Pokok Sena,PN,31751,59.44,87944,36.1,Very Safe
ge15,p009,Alor Setar,PN,9931,49.1,76354,13.01,Safe
ge15,p010,Kuala Kedah,PN,28061,56.17,100219,28.0,Very Safe
ge15,p011,Pendang,PN,31289,64.83,75594,41.39,Very Safe
ge15,p012,Jerai,PN,33192,60.1,82293,40.33,Very Safe
ge15,p013,Sik,PN,22417,68.48,50531,44.36,Very Safe
ge15,p014,Merbok,PN,21019,51.53,102019,20.6,Very Safe
ge15,p015,Sungai Petani,PH,1115,38.97,129778,0.86,Marginal
ge15,p016,Baling,PN,29137,59.13,109064,26.72,Very Safe
ge15,p017,Padang Serai,PN,16260,56.84,90843,17.9,Safe
ge15,p018,Kulim-Bandar Baharu,PN,13061,49.0,70340,18.57,Safe
ge15,p019,Tumpat,PN,34793,62.66,104414,33.32,Very Safe
ge15,p020,Pengkalan Chepa,PN,38300,69.71,77373,49.5,Very Safe
ge15,p021,Kota Bharu,PN,22613,53.8,77821,29.06,Very Safe
ge15,p022,Pasir Mas,PN,30717,68.21,65153,47.15,Very Safe
ge15,p023,Rantau Panjang,PN,20636,62.56,60354,34.19,Very Safe
ge15,p024,Kubang Kerian,PN,40847,68.38,81384,50.19,Very Safe
ge15,p025,Bachok,PN,29901,64.09,89143,33.54,Very Safe
ge15,p026,Ketereh,PN,23107,64.48,62872,36.75,Very Safe
ge15,p027,Tanah Merah,PN,44485,78.0,69572,63.94,Very Safe
ge15,p028,Pasir Puteh,PN,29109,65.37,80981,35.95,Very Safe
ge15,p029,Machang,PN,10154,54.68,65114,15.59,Safe
ge15,p030,Jeli,PN,12464,63.03,42953,29.02,Very Safe
ge15,p031,Kuala Krai,PN,25188,66.08,64681,38.94,Very Safe
ge15,p032,Gua Musang,PN,163,45.12,48377,0.34,Marginal
ge15,p033,Besut,PN,18666,58.07,85364,21.87,Very Safe
ge15,p034,Setiu,PN,19032,59.85,84832,22.43,Very Safe
ge15,p035,Kuala Nerus,PN,29765,64.7,87628,33.97,Very Safe
ge15,p036,Kuala Terengganu,PN,40907,65.27,96552,42.37,Very Safe
ge15,p037,Marang,PN,41729,67.04,109068,38.26,Very Safe
ge15,p038,Hulu Terengganu,PN,15734,59.59,72008,21.85,Very Safe
ge15,p039,Dungun,PN,34105,65.65,90964,37.49,Very Safe
ge15,p040,Kemaman,PN,27179,58.11,113095,24.03,Very Safe
ge15,p041,Kepala Batas,PN,2867,41.27,69302,4.14,Marginal
ge15,p042,Tasek Gelugor,PN,12252,46.49,66933,18.3,Safe
ge15,p043,Bagan,PH,49648,81.27,68654,72.32,Very Safe
ge15,p044,Permatang Pauh,PN,5272,43.04,87448,6.03,Fairly Safe
ge15,p045,Bukit Mertajam,PH,57685,77.33,92745,62.2,Very Safe
ge15,p046,Batu Kawan,PH,40400,73.88,68683,58.82,Very Safe
ge15,p047,Nibong Tebal,PH,16293,53.2,79308,20.54,Very Safe
