Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Tawau,p190,7.76,Fairly Safe
Keningau,p180,14.68,Safe
Sipitang,p178,16.14,Safe
Batu Sapi,p185,17.94,Safe
Ranau,p179,27.03,Very Safe
Papar,p175,28.47,Very Safe
