General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Rodziah Ismail,56754,54.35
15,PN,Sasha Lyna Abdul Latif,27073,25.92
15,BN,Ivone Low Yi Wen,11509,11.02
15,PBM,Zuraida Kamaruddin,4589,4.39
