General Election,Party,Candidate,Vote Count,Percentage of Vote
15,BN,Azalina Othman Said,21758,51.98
15,PN,Fairulnizar Rahmat,16728,39.96
15,PH,Che Zakaria Mohd Salleh,3374,8.06
