General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PN,Saifuddin Abdullah,41692,44.65
15,PH,Zuraidi Ismail,33293,35.65
15,BN,Quek Tai Seong,16530,17.70
15,Homeland Fighters' Party,Mohamad Nor Sundari,1860,2.00
