General Election,Party,Candidate,Vote Count,Percentage of Vote
15,BN,Hasni Mohammad,18312,41.19
15,PH,Maszlee Malik,16491,37.37
15,PN,Mohd Fazrul Kamat,9077,20.57
15,Homeland Fighters' Party,Kamal Kusmin,251,0.57
