General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Muhammad Bakhtiar Wan Chik,24564,38.43
15,PN,Muhammad Harris Idaham Abdul Rashid,22982,35.96
15,BN,Shah Headan Ayoob Hussain Shah,15478,24.22
15,Independent,Sabaruddin Ahmad,366,0.57
