General Election,Party,Candidate,Vote Count,Percentage of Vote
15,MUDA,Syed Saddiq Syed Abdul Rahman,19961,37.55
15,PN,Abdullah Husin,18616,35.02
15,BN,Mohd Helmy Abd Latiff,14581,27.43
