General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Gobind Singh Deo,60429,72.39
14,BN,Ang Chin Tat,12794,15.33
14,Pan-Malaysian Islamic Party,Mohamad Rosharizan Mohd Rozlan,10255,12.28
