General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Hassan Abdul Karim,61615,58.68
14,BN,Mohamed Khaled Nordin,36889,35.13
14,Pan-Malaysian Islamic Party,Ab Aziz Abdullah,6278,5.98
14,Independent,Sey Jock @ Chee Jock,227,0.21
