General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Mohammed Taufiq Johari,50580,38.91
15,PN,Robert Ling Kui Ee,49465,38.05
15,BN,Shahanim Mohamad Yusoff,27391,21.07
15,Homeland Fighters' Party,Marzuki Yahya,2342,1.80
