General Election,Party,Candidate,Vote Count,Percentage of Vote
14,Pan-Malaysian Islamic Party,Shaharizukirnain Abd. Kadir,35020,48.65
14,BN,Mohd Jidin Shafee,32218,44.76
14,PH,Mohd Faudzi Musa,4740,6.59
