General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ismail Abd. Muttalib,16064,49.09
14,Pan-Malaysian Islamic Party,Hasenan Haron,12301,37.59
14,PH,Ahmad Farid Ahmad Nordin,4360,13.32
