General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Sivarasa Rasiah,43631,55.97
14,Pan-Malaysian Islamic Party,Nuridah Mohd Salleh,16997,21.80
14,BN,Pakas Rao Applanaidoo,16681,21.40
14,Parti Sosialis Malaysia,Zainurizzaman Moharam,642,0.82
