General Election,Party,Candidate,Vote Count,Percentage of Vote
15,Pan-Malaysian Islamic Party,Khlir Mohd Nor,40542,64.49
15,BN,Marzuani Ardila Ariffin,17435,27.74
15,PH,Rahimi L Muhamud,4662,7.42
15,PUTRA,Hanif Ibrahim,233,0.35
