General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PN,Abdul Khalib Abdullah,31589,47.20
15,BN,Hasan Arifin,30151,45.05
15,PH,Erman Shah Jaios,4779,7.14
15,Independent,Harmizi Hussain,408,0.61
