General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Mohd Shahar Abdullah,19033,43.16
14,Pan-Malaysian Islamic Party,Mohamad Azhar Mohd Noor,13291,30.14
14,PH,Mohd Ashraf Mustaqim Badrul Munir,11776,26.70
