General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Mohd Salim Sharif,26819,46.83
14,PH,Kamarulzaman Kamdias,25188,43.98
14,Pan-Malaysian Islamic Party,Mustaffa Daharun,5267,9.19
