General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PN,Afnan Hamimi Taib Azamudden,37486,48.69
15,PH,Simon Ooi Tze Min,27555,35.79
15,BN,Tan Chee Heong,8930,11.60
15,Homeland Fighters' Party,Mohamad Nuhairi Rahmat,2383,3.10
