General Election,Party,Candidate,Vote Count,Percentage of Vote
14,Sabah Heritage Party,Ignatius Darell Leiking,32470,75.32
14,BN,Ceasar Mandela Malakun,8997,20.87
14,Homeland Solidarity Party,Cleftus Stephen Spine,1196,2.77
14,ANAK NEGERI,Dr. Edwin @ Jack Bosi,445,1.03
