General Election,Party,Candidate,Vote Count,Percentage of Vote
15,Pan-Malaysian Islamic Party,Takiyuddin Hassan,41869,53.67
15,PH,Hafidzah Mustakim,19256,24.68
15,BN,Rosmadi Ismail,16168,20.72
15,PUTRA,Che Musa Che Omar,528,0.68
