General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Mastura Mohd Yazid,12102,40.26
14,PH,Ahmad Termizi Ramli,11371,37.83
14,Pan-Malaysian Islamic Party,Khalil Idham Lim Abdullah,6583,21.90
