General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Mohd Fasiah Mohd Fakeh,12862,38.57
14,PH,Warno Dogol,11188,33.55
14,Pan-Malaysian Islamic Party,Muhammad Labib Abd Jalil,9300,27.89
