General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Tan Yee Kew,42178,57.30
14,BN,Yew Teong Look,17940,24.37
14,Pan-Malaysian Islamic Party,Razali Tumirin,13490,18.33
