General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Eddin Syazlee Shith,18045,44.85
14,BN,Hasan Malek,17845,44.35
14,Pan-Malaysian Islamic Party,Rafiei Mustapha,4347,10.80
