General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ismail Mohamed Said,18058,47.14
14,Pan-Malaysian Islamic Party,Kamal Ashaari,15182,39.63
14,PH,Mohamad Rafidee Hassim,5071,13.24
