General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Kesavan Subramaniam,20817,48.72
14,BN,Devamany S. Krishnasamy,15210,35.60
14,Pan-Malaysian Islamic Party,Ishak Ibrahim,5194,12.16
14,Parti Sosialis Malaysia,Michael Jeyakumar Devaraj,1505,3.52
