General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Mohamed Farid Md Rafik,21255,47.29
14,BN,Wee Jeck Seng,20731,46.12
14,Pan-Malaysian Islamic Party,Nordin Othman¹,2962,6.59
