General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Syed Ibrahim Syed Noh,34706,53.06
14,BN,Hamim Samuri,26040,39.80
14,Pan-Malaysian Islamic Party,Rusman Kemin,4668,7.14
