General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ronald Kiandee,13007,62.84
14,Sabah Heritage Party,Japar Zairun,5892,28.47
14,Sabah People's Hope Party,Sipin Kadandi,996,4.81
14,Love Sabah Party,Toidy Luit,284,1.37
