General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PBM,Larry Sng Wei Shien,9159,40.64
15,GPS,Joseph Salang Gandum,7819,34.69
15,Independent,Elly Lawai Ngalai,5224,23.18
15,PBDS (Baru),Susan George,335,1.49
