General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ahmad Maslan,21132,46.21
14,PH,Karmaine Sardini,20299,44.39
14,Pan-Malaysian Islamic Party,Baharom Mohamad,4295,9.40
