General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Chan Foong Hin,31359,71.08
15,Sabah Heritage Party,Amanda Yeo Yan Yin,7576,17.17
15,GRS,Yee Tsai Yiew,4592,10.41
15,KDM,Winston Liaw Kit Siong,456,1.03
