General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ikmal Hisham Abdul Aziz,28152,48.44
14,Pan-Malaysian Islamic Party,Johari Mat,25223,43.40
14,PH,Mohamad Fauzi Zakaria,4747,8.17
