General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Mahdzir Khalid,16384,42.09
14,Pan-Malaysian Islamic Party,Mohd Azam Abd Aziz,15285,39.27
14,PH,Mohd Khairizal Khazali,7254,18.64
