General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Syahredzan Johan,141568,57.95
15,PN,Muhammad Nazrul Hakim Md. Nazir,71867,29.42
15,BN,Hoh Hee Lee,25685,10.51
15,Homeland Fighters' Party,Annuar Salleh,3148,1.29
