General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Khalid Abdul Samad,55949,60.00
14,BN,Azhari Shaari,22100,23.70
14,Pan-Malaysian Islamic Party,Mohd Zuhdi Marsuki,15194,16.30
