General Election,Party,Candidate,Vote Count,Percentage of Vote
15,GRS,Lo Su Fui,19865,39.19
15,PH,Christina Liew,16065,31.69
15,Sabah Heritage Party,Chen Ket Chuin,11263,22.22
15,Independent,Mohd Salleh Bacho,1776,3.50
