General Election,Party,Candidate,Vote Count,Percentage of Vote
15,GRS,Gapari Katingan @ Geoffrey Kitingan,23155,42.20
15,PH,Grelydia Gillod,15099,27.52
15,KDM,Jake Nointin,9598,17.49
15,Sabah Heritage Party,Rasinin Koutis,7020,12.79
