General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Anifah Aman,11942,47.71
14,Sabah Heritage Party,Karim Bujang,11786,47.09
14,Sabah People's Hope Party,Jaafar Ismail,1300,5.19
