General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Tony Pua Kiam Wee,121283,89.00
14,BN,Ryan Ho Kwok Xheng,14380,10.55
14,Parti Rakyat Malaysia,Dato' Wong Mun Kheong,617,0.45
