General Election,Party,Candidate,Vote Count,Percentage of Vote
15,PH,Lim Guan Eng,55797,81.27
15,PN,Alan Oh @ Oh Teik Choon,6149,8.96
15,BN,Tan Chuan Hong,5385,7.84
15,Homeland Fighters' Party,Mohammed Hafiz Bin Mohamed Abu Bakar,1323,1.93
