General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Rosol Wahid,30925,49.60
14,Pan-Malaysian Islamic Party,Muhyidin Abdul Rashid,28057,45.00
14,PH,Razali Idris,3364,5.40
