General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Xavier Jayakumar Arulanandam,43239,49.08
14,BN,Shahril Sufian Hamdan,26127,29.66
14,Pan-Malaysian Islamic Party,Yahya Baba,18731,21.26
