General Election,Party,Candidate,Vote Count,Percentage of Vote
14,PH,Choong Shiau Yoon,64535,62.09
14,BN,Hou Kok Chung,27310,26.27
14,Pan-Malaysian Islamic Party,Abdullah Husin,12098,11.64
