General Election,Party,Candidate,Vote Count,Percentage of Vote
14,BN,Ahmad Jazlan Yaakub,26076,47.39
14,Pan-Malaysian Islamic Party,Zulkifli Mamat,23252,42.26
14,PH,Sazmi Miah,5695,10.35
