Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge15,p191,Kalabakan,BN,9100,48.01,49689,18.31,Safe
ge15,p192,Mas Gading,PH,5480,55.05,31379,17.46,Safe
ge15,p193,Santubong,GPS,38681,84.42,51809,74.66,Very Safe
ge15,p194,Petra Jaya,GPS,41363,79.15,69163,59.81,Very Safe
ge15,p195,Bandar Kuching,PH,28891,71.34,63575,45.44,Very Safe
ge15,p196,Stampin,PH,7158,53.3,73753,9.71,Fairly Safe
ge15,p197,Kota Samarahan,GPS,29445,76.71,55111,53.43,Very Safe
ge15,p198,Puncak Borneo,GPS,13338,57.58,51154,26.07,Very Safe
ge15,p199,Serian,GPS,16697,57.23,39974,41.77,Very Safe
ge15,p200,Batang Sadong,GPS,14893,83.18,22443,66.36,Very Safe
ge15,p201,Batang Lupar,GPS,14463,71.22,27559,52.48,Very Safe
ge15,p202,Sri Aman,GPS,4039,44.27,31917,12.65,Safe
ge15,p203,Lubok Antu,GPS,100,34.44,19294,0.52,Marginal
ge15,p204,Betong,GPS,11302,61.69,26713,42.31,Very Safe
ge15,p205,Saratok,PN,8826,62.33,30841,28.62,Very Safe
ge15,p206,Tanjong Manis,GPS,13908,86.52,19040,73.05,Very Safe
ge15,p207,Igan,GPS,14662,93.16,16986,86.32,Very Safe
ge15,p208,Sarikei,GPS,3697,55.07,36463,10.14,Safe
ge15,p209,Julau,PBM,1340,40.64,22537,5.95,Marginal
ge15,p210,Kanowit,GPS,236,42.07,17616,1.34,Marginal
ge15,p211,Lanang,PH,11544,56.89,52946,21.8,Very Safe
ge15,p212,Sibu,PH,7760,47.45,65942,11.77,Safe
ge15,p213,Mukah,GPS,15686,78.23,27780,56.47,Very Safe
ge15,p214,Selangau,GPS,4986,55.83,28796,17.31,Safe
ge15,p215,Kapit,GPS,12402,75.1,21999,56.38,Very Safe
ge15,p216,Hulu Rajang,GPS,7505,66.03,23407,32.06,Very Safe
ge15,p217,Bintulu,GPS,22168,61.73,70392,31.49,Very Safe
ge15,p218,Sibuti,GPS,11745,65.31,33916,34.63,Very Safe
ge15,p219,Miri,PH,6159,50.61,78148,7.88,Fairly Safe
ge15,p220,Baram,GPS,7339,61.78,29783,24.64,Very Safe
ge15,p221,Limbang,GPS,9998,75.25,19796,50.51,Very Safe
ge15,p222,Lawas,GPS,5677,62.4,18208,31.18,Very Safe
